"CODIGO";"ID FABRICANTE";"CATEGORIA";"DETALLE";"IMAGEN";"IVA";"STOCK";"GARANTIA";"MONEDA";"PRECIO";"PRECIO FINAL";"COTIZACION DOLAR";"PRECIO PESOS SIN IVA";"PRECIO PESOS CON IVA";"ATRIBUTOS"
"117532";"DWA-121/DSAU";"CONECTIVIDAD";"D-LINK WIRELESS N150 MICRO USB ADAPTER DWA-121";"https://static.nb.com.ar/i/nb_D-LINK-WIRELESS-N150-MICRO-USB-ADAPTER-DWA-121_ver_4a1d58a9d741fe3f5ed824fde311cbb7.jpg";"10.5%";"10";"12 meses";"U$S";"10.31";"11.39";"400";"4123.66";"4556.64";"Marca:D-Link
Incluye antena externa:No
Condición del ítem:Nuevo
Modelo:DWA-121
SKU:2824300
Velocidad inalámbrica:150 Mbps
Con dual band:No"
"102231";"ZN687U";"CONECTIVIDAD";"CABLE UTP SFX CAT5 305M EXTERIOR";"https://static.nb.com.ar/i/nb_CABLE-UTP-SFX-CAT5-305M-EXTERIOR_ver_e768b924db4ce87455e923040dd5ac3f.jpeg";"21.0%";"10";"-";"U$S";"87.55";"105.94";"400";"35021.95";"42376.56";"Ambiente:Interior-exterior
Marca:SFX
Forma del cable:Circular
Material de revestimiento:PVC
Color:Negro
Largo:305000 mm
Modelo:ZN687U
MPN:ZN687U
Categoría del cable de red:Categoría 5e
Tipo de cable de red:Par trenzado UTP
SKU:ZN687U
Ambiente:Exterior
Marca:SFX
Largo:305000 mm
Modelo:Exterior
Categoría del cable de red:UTP 5
Tipo de cable de red:Par trenzado UTP"
"113181";"OAULUB305U4";"CONECTIVIDAD";"OUTLET NEXXT ADAPTADOR LYNX 301 WIRELESS 300 USB";"https://static.nb.com.ar/i/nb_OUTLET-NEXXT-ADAPTADOR-LYNX-301-WIRELESS-300-USB_ver_ee1ae122fb9ae2fe070d2c9d993d6c77.jpeg";"10.5%";"1";"3 meses";"U$S";"15.41";"17.03";"400";"6165.03";"6812.36";"CONDICION:OUTLET"
"104225";"ZN688U";"CONECTIVIDAD";"CABLE UTP SFX CAT6 305M EXTERIOR";"https://static.nb.com.ar/i/nb_CABLE-UTP-SFX-CAT6-305M-EXTERIOR_ver_f10b2b31b77eb5fbd9ee676911346ce4.jpeg";"21.0%";"10";"-";"U$S";"132.77";"160.66";"400";"53109.91";"64262.99";"USO:Exterior
Presentación :Caja x 305 M"
"6615";"DEM-410CX";"CONECTIVIDAD";"D-LINK ONE PORTE 1000 BASE DEM-410CX";"https://static.nb.com.ar/i/nb_D-LINK-ONE-PORTE-1000-BASE-DEM-410CX_ver_635fee8a68a6bde4929d86bea9e2d5b7.jpg";"21.0%";"4";"12 meses";"U$S";"342";"413.82";"400";"136800.48";"165528.58";"Marca:D-Link
Tecnología de conectividad:WLAN
Tasa de transferencia de datos:1000 MB/s
EAN:0020066202361
Código universal de producto:0020066202361
Modelo:DEM-410CX
Interfaz:PCI"
"102100";"ARN03304A1";"CONECTIVIDAD";"NEXXT ROUTER N AMP300 WIRELESS 300MBPS 4P";"https://static.nb.com.ar/i/nb_NEXXT-ROUTER-N-AMP300-WIRELESS-300MBPS-4P_ver_9dfec71715a07b080538d0cb32d19bcd.jpeg";"10.5%";"10";"3 meses";"U$S";"35.73";"39.48";"400";"14290.29";"15790.77";"Marca:Nexxt
Tipo de conexión:Inalámbrico
Medidas:0.186 m x 0.12 m x 0.027 m
Frecuencias:2.4 GHz
Tipo de frecuencia:Banda Única
Modelo:Nebula 300+
Cantidad de antenas:3
Tipo de router:Router
Peso:208 gr
Velocidad inalámbrica:37.5 MB/s
Peso:208 gr"
"117531";"DIR-825M/LLA";"CONECTIVIDAD";"D-LINK ROUTER DIR-825M ac1200 MU-MIMO GIGABIT ROUTER WITH USB";"https://static.nb.com.ar/i/nb_D-LINK-ROUTER-DIR-825M-ac1200-MU-MIMO-GIGABIT-ROUTER-WITH-USB_ver_ca07cd060cf329dd19be525c52880a24.jpg";"10.5%";"10";"12 meses";"U$S";"56.79";"62.75";"400";"22715.21";"25100.31";"Voltaje:100V/240V
Cantidad de puertos WAN:1
Velocidad inalámbrica:1200 Mbps
Marca:D-Link
Tipo de conexión:Inalámbrica
Frecuencias:2.4 GHz,5 GHz
Tipo de frecuencia:Banda doble
Funciones:Router
Condición del ítem:Nuevo
Cantidad de puertos LAN:4
Línea:Xtreme N
Modelo:DIR-825
Cantidad total de puertos:6
Unidades por paquete:1
Cantidad de puertos USB:1"
"116723";"961294";"CONECTIVIDAD";"ARWEN JACK RJ45 UTP C5 AUTOCRIMP WHITE";"https://static.nb.com.ar/i/nb_ARWEN-JACK-RJ45-UTP-C5-AUTOCRIMP-WHITE_ver_3184f583faab05035022d15ce27ff393.jpeg";"21.0%";"10";"6 meses";"U$S";"2.15";"2.6";"400";"859.14";"1039.56";"Marca:ANBYTE
SKU:SCP 745 01
Norma:RJ45 UTP C5"
"5979";"DWS-3024L";"CONECTIVIDAD";"D-LINK SWITCH 24 10/1000 DWS-3024L";"https://static.nb.com.ar/i/nb_D-LINK-SWITCH-24-10/1000-DWS-3024L_ver_707927019b732d453879f919e86ec7a5.jpeg";"10.5%";"1";"12 meses";"U$S";"2983.51";"3296.78";"400";"1193404.17";"1318711.61";"Cantidad de puertos:24
Marca:D-Link
Capacidad de conmutación:1 GB/s
Profundidad:4.4 cm
EAN:0098378708703
Código universal de producto:0098378708703
Altura:441 mm
Es gestionable:No
Modelo:DWS-3024L
Cantidad de puertos PoE:24
Serie:Xstack
Cantidad de puertos SFP:4
Tipo de telecomunicación:Ethernet
Peso:5420 gr
Ancho:441 mm"
"6611";"DWA-182/LA";"CONECTIVIDAD";"D-LINK WIRELESS AC1200 DUAL BAND DWA-182";"https://static.nb.com.ar/i/nb_D-LINK-WIRELESS-AC1200-DUAL-BAND-DWA-182_ver_f3108c7321908e93d7bcc3e1baf4c5de.png";"10.5%";"10";"12 meses";"U$S";"33.21";"36.69";"400";"13283.02";"14677.74";"Network Connectivity::ADSL, Beamforming, Dual-Band, For Gaming
Marca:D-Link
MPN:DWA182
Maximum Wireless Data Rate: 	1200 Mbps
Modelo:AC1200
Tipo:Adaptador USB
Conectividad: 	Wireless-Wi-Fi 802.11ac"
