ID,DETALLE,CODIGO ALFA,CODIGO PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PRECIO,IVA,IMP. INTERNO,MARKUP,PRECIO PUBLICO,COTIZACION,PRECIO PUBLICO ARS,URI,FECHA HORA
15709,Fuente COOLER MASTER Cable 24 Pines ATX p/Adaptador CM,CM-CAB24PINCAB,CABLE24PINES,Hardware,Fuentes,COOLER MASTER,2.05,21.0,0.0,10,2.26,286.5,647.49,https://elit.com.ar/producto/15709-fuente-cooler-master-cable-24-pines-atx-p-adaptador-cm,8/1/2023 9:18:53 PM 
15716,"Notebook LENOVO ThinkBook 15 G2 ITL 15"" Intel Core i7-1165G7 8GB DD4-3200Mhz Intel Iris Xe 256GB SSD -",LENNOT20VE00L1A,20VE00L1AR,Computadoras,Notebooks Corporativo,LENOVO,2105.84,10.5,0.0,10,2316.42,286.5,663654.33,https://elit.com.ar/producto/15716-notebook-lenovo-think-book-15-g2-itl-15-intel-core-i7-1165g7-8gb-dd4-3200mhz-intel-iris-xe-256gb-ssd,8/1/2023 9:18:53 PM 
15759,Gabinete THERMALTAKE AH T600 Negro Mid Tower S/Fuente,THEGABAHT600N,CA-1Q4-00M1WN-00,Hardware,Gabinetes,THERMALTAKE,462.51,10.5,0.0,10,508.76,286.5,145759.74,https://elit.com.ar/producto/15759-gabinete-thermaltake-ah-t600-negro-mid-tower-s-fuente,8/1/2023 9:18:53 PM 
15760,Gabinete THERMALTAKE AH T600 Snow Blanco Mid Tower S/Fuente,THEGABAHT600B,CA-1Q4-00M6WN-00,Hardware,Gabinetes,THERMALTAKE,308.52,10.5,0.0,10,339.37,286.5,97229.51,https://elit.com.ar/producto/15760-gabinete-thermaltake-ah-t600-snow-blanco-mid-tower-s-fuente,8/1/2023 9:18:53 PM 
15761,Gabinete THERMALTAKE AH T200 Negro Micro Chassis S/Fuente,THEGABAHT200N,CA-1R4-00S1WN-00,Hardware,Gabinetes,THERMALTAKE,277.5,10.5,0.0,10,305.25,286.5,87454.13,https://elit.com.ar/producto/15761-gabinete-thermaltake-ah-t200-negro-micro-chassis-s-fuente,8/1/2023 9:18:53 PM 
15762,Gabinete THERMALTAKE AH T200 Snow Blanco Micro Chassis S/Fuente,THEGABAHT200B,CA-1R4-00S6WN-00,Hardware,Gabinetes,THERMALTAKE,277.5,10.5,0.0,10,305.25,286.5,87454.13,https://elit.com.ar/producto/15762-gabinete-thermaltake-ah-t200-snow-blanco-micro-chassis-s-fuente,8/1/2023 9:18:53 PM 
15764,Gabinete THERMALTAKE View 51 TG Snow Blanco Full Tower ARGB S/Fuente,THEGAB51TGARGBB,CA-1Q6-00M6WN-00,Hardware,Gabinetes,THERMALTAKE,252.64,10.5,0.0,10,277.9,286.5,79618.35,https://elit.com.ar/producto/15764-gabinete-thermaltake-view-51-tg-snow-blanco-full-tower-argb-s-fuente,8/1/2023 9:18:53 PM 
15775,"Disco Interno SSD WESTERN DIGITAL Green 240GB 2.5"" SATA 3.0  545MB/s",WDSSD240G3G0A,WDS240G3G0A,Almacenamiento,Discos Internos SSD,WD,44.86,10.5,0.0,10,49.35,286.5,14138.78,https://elit.com.ar/producto/15775-disco-interno-ssd-western-digital-green-240gb-2-5-sata-3-0-545mb-s,8/1/2023 9:18:53 PM 
15779,Memoria Ram SODIMM KINGSTON KVR 8GB DDR4 3200MHz CL22 1.20V Single Negro,KINMEM32S22S6/8,KVR32S22S6/8,Memorias,Memorias Notebook,KINGSTON,46.98,10.5,0.0,10,51.68,286.5,14806.32,https://elit.com.ar/producto/15779-memoria-ram-sodimm-kingston-kvr-8gb-ddr4-3200m-hz-cl22-1-20v-single-negro,8/1/2023 9:18:53 PM 
15793,Procesador INTEL Core i3-12100 3.30GHz LGA1700 DDR4/DDR5,INTPROI3-12100,BX8071512100,Hardware,Procesadores,INTEL,363.49,10.5,0.0,10,399.84,286.5,114554.16,https://elit.com.ar/producto/15793-procesador-intel-core-i3-12100-3-30g-hz-lga1700-ddr4-ddr5,8/1/2023 9:18:53 PM 
15810,Mouse Inalámbrico LOGITECH GPRO X Superlight Magenta,LOGMOUSUPERLMAG,910-005955,Perifericos,Mouses,LOGITECH,235.37,10.5,0.0,10,258.91,286.5,74177.72,https://elit.com.ar/producto/15810-mouse-inalambrico-logitech-gpro-x-superlight-magenta,8/1/2023 9:18:53 PM 
