Código,Descripción,Final USD,Final Esp USD,PROMO final USD,Categoría,Sub Categoría,Marca,Tipo de IVA
HDMI-M_H,E-VIEW ADAPTADOR HDMI M/H NEGRO,1.29,1.26,,CABLES Y ADAPTADORES,CABLES Y ADAPTADORES VARIOS,E-View,21.0
NM-C95,NETMAK ADAPT. ACTIVO DVI-D 24+1 (M) A VGA (H) NM-C95,10.55,10.24,,CABLES Y ADAPTADORES,CABLES Y ADAPTADORES VARIOS,NETMAK,21.0
NM-TYPE,NETMAK ADAPTADOR TIPO C (M) / (HDMI+USB 3.0+USB TIPO C),22.03,21.37,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-UC,NETMAK ADAPTADOR USB2.0 (M) A TIPO C (H) NM-UC,4.38,4.25,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-C25 1.5,NETMAK CABLE AUDIO 3.5MM A 2 RCA 1.5M NM-C25 1.5,1.6,1.55,,CABLES Y ADAPTADORES,CABLES AUDIO,NETMAK,21.0
NM-C66B,NETMAK CABLE AUXILIAR 3.5MM A 3.5 MM REF. 1M AZUL NM-C66B,1.36,1.32,,CABLES Y ADAPTADORES,CABLES AUDIO,NETMAK,21.0
NM-C66,NETMAK CABLE AUXILIAR 3.5MM A 3.5 MM REF. 1M BLACK NM-C66,1.36,1.32,,CABLES Y ADAPTADORES,CABLES AUDIO,NETMAK,21.0
NM-C66G,NETMAK CABLE AUXILIAR 3.5MM A 3.5 MM REF. 1M GREEN NM-C66G,1.36,1.32,,CABLES Y ADAPTADORES,CABLES AUDIO,NETMAK,21.0
NM-C66R,NETMAK CABLE AUXILIAR 3.5MM A 3.5 MM REF. 1M RED NM-C66R,1.36,1.32,,CABLES Y ADAPTADORES,CABLES AUDIO,NETMAK,21.0
NM-C47,NETMAK CABLE HDMI M/M V1.4 1.5M NM-C47,3.97,3.86,,CABLES Y ADAPTADORES,CABLES HDMI,NETMAK,21.0
NM-C70,NETMAK CABLE USB A MICRO USB 1.5M NM-C70,2.19,2.13,,CABLES Y ADAPTADORES,CABLES Y ADAPTADORES VARIOS,NETMAK,21.0
NM-117B,"NETMAK CABLE USB A MICRO USB 2A 1,2M STRONG SERIES  AZUL NM-117B",3.59,3.48,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-117S ,"NETMAK CABLE USB A MICRO USB 2A 1,2M STRONG SERIES PLATEADO NM-117S ",3.65,3.55,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-117R,"NETMAK CABLE USB A MICRO USB 2A 1,2M STRONG SERIES ROJO NM-117R",3.59,3.48,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-115,NETMAK CABLE USB A MICRO USB 2A 1M MAGIC SERIES NM-115,4.14,4.02,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-112,"NETMAK CABLE USB A TIPO C 2A 1,2M GAME CABLE NM-112",4.46,4.33,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-C09 1.8,NETMAK CABLE USB ALARGUE 1.8M NM-C09 1.8,3.19,3.1,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-C03 1.8,NETMAK CABLE USB IMPRESORA A/B 1.8 NM-C03 1.8,2.12,2.06,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-UTP2,NETMAK CABLE UTP CAT5E EXTERIOR DOBLE VAINA 100M NM-UTP2,61.53,59.69,,CABLES Y ADAPTADORES,CABLES Y CONECTORES UTP - RED,NETMAK,21.0
NM-UTP,NETMAK CABLE UTP CAT5E INTERIOR 100M NM-UTP,41.14,39.91,,CABLES Y ADAPTADORES,CABLES Y CONECTORES UTP - RED,NETMAK,21.0
NM-C18,NETMAK CABLE VGA M/M 1.5M NM-C18,3.58,3.47,,CABLES Y ADAPTADORES,CABLES VGA,NETMAK,21.0
NM-C18 20,NETMAK CABLE VGA M/M 20M NM-C18 20,30.98,30.04,,CABLES Y ADAPTADORES,CABLES VGA,NETMAK,21.0
NM-C106 ,NETMAK CONVERSOR TIPO-C A DISPLAY PORT (H) NM-C106 ,18.67,18.11,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-CARRY2,"NETMAK ENCLOSURE 2.5"" SATA USB 2.0 NM-CARRY2",12.76,12.38,,CABLES Y ADAPTADORES,VARIOS,NETMAK,10.5
NM-TC40 ,NETMAK HUB TIPO C (M) A 3 PUERTOS USB 2.0 + RJ45 / NM-TC40 ,18.67,18.11,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
