Código,Descripción,Final USD,Final ESP USD,Promoción,Categoría,Sub Categoría,Marca,Tipo IVA
GT-T196M,CARTUCHO EPSON ALTERNATIVO GT-T196M GTC,2.44,2.36,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,GTC,10.5
GT-T296A,CARTUCHO EPSON ALTERNATIVO GT-T296A GTC,5.89,5.71,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,GTC,10.5
GT-T296C,CARTUCHO EPSON ALTERNATIVO GT-T296C GTC,5.89,5.71,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,GTC,10.5
GT-T296M,CARTUCHO EPSON ALTERNATIVO GT-T296M GTC,5.89,5.71,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,GTC,10.5
5001011,CARTUCHO EPSON ALTERNATIVO T013201 (NEG),3.7,3.59,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
5001012,CARTUCHO EPSON ALTERNATIVO T014201 (COLOR),3.93,3.82,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
5001013,CARTUCHO EPSON ALTERNATIVO T017311 (NEG),3.93,3.82,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
T018 E-VIEW,CARTUCHO EPSON ALTERNATIVO T018 E-VIEW,1.99,1.92,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
5001014,CARTUCHO EPSON ALTERNATIVO T018311 (COLOR),1.66,1.61,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
5001016,CARTUCHO EPSON ALTERNATIVO T019201 (NEG),3.29,3.19,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
5001018,CARTUCHO EPSON ALTERNATIVO T020311 (COLOR),2.18,2.11,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
5001020,CARTUCHO EPSON ALTERNATIVO T026401 (NEG),2.18,2.11,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
5001034,CARTUCHO EPSON ALTERNATIVO T027401 (COLOR),2.18,2.11,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
5001032,CARTUCHO EPSON ALTERNATIVO T028201 (NEG),2.18,2.11,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
5001021,CARTUCHO EPSON ALTERNATIVO T029201 (COLOR),2.18,2.11,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
5001023,CARTUCHO EPSON ALTERNATIVO T037020 (COLOR),2.18,2.11,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
5001024,CARTUCHO EPSON ALTERNATIVO T040120 (NEG),2.18,2.11,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
5001025,CARTUCHO EPSON ALTERNATIVO T041120 (COLOR),2.18,2.11,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
T0461 N E-VIEW,CARTUCHO EPSON ALTERNATIVO T0461 NEGRO E-VIEW,0.98,0.95,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T0472 C E-VIEW,CARTUCHO EPSON ALTERNATIVO T0472 CYAN E-VIEW,0.98,0.95,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T0473 M E-VIEW,CARTUCHO EPSON ALTERNATIVO T0473 MAGENTA E-VIEW,0.98,0.95,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T0474 A E-VIEW,CARTUCHO EPSON ALTERNATIVO T0474 AMARILLO E-VIEW,0.98,0.95,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
5001040,CARTUCHO EPSON ALTERNATIVO T048120 (NEG),1.41,1.37,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
5001041,CARTUCHO EPSON ALTERNATIVO T048220 (CYAN),1.41,1.37,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
5001042,CARTUCHO EPSON ALTERNATIVO T048320 (MAGENTA),1.41,1.37,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
999801013,CARTUCHO EPSON ALTERNATIVO T048520 (CYAN CLARO),2.3,2.23,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,CP,10.5
T0634 A E-VIEW,CARTUCHO EPSON ALTERNATIVO T0634 AMARILLO E-VIEW,0.73,0.71,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T0821N N E-VIEW,CARTUCHO EPSON ALTERNATIVO T0821N NEGRO E-VIEW,1.25,1.22,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T0822N C E-VIEW,CARTUCHO EPSON ALTERNATIVO T0822N CYAN E-VIEW,1.25,1.22,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T0823N M E-VIEW,CARTUCHO EPSON ALTERNATIVO T0823N MAGENTA E-VIEW,1.25,1.22,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T0824N A E-VIEW,CARTUCHO EPSON ALTERNATIVO T0824N AMARILLO E-VIEW,1.25,1.22,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T0825N LC E-VIEW,CARTUCHO EPSON ALTERNATIVO T0825N CYAN LIGHT E-VIEW,1.25,1.22,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T0826N LM E-VIEW,CARTUCHO EPSON ALTERNATIVO T0826N MAGENTA LIGHT E-VIEW,1.25,1.22,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T1171 N E-VIEW,CARTUCHO EPSON ALTERNATIVO T1171 NEGRO E-VIEW,1.25,1.22,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T1331 N E-VIEW,CARTUCHO EPSON ALTERNATIVO T1331 NEGRO E-VIEW,1.16,1.13,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T1962 C E-VIEW,CARTUCHO EPSON ALTERNATIVO T1962 CYAN E-VIEW,2.08,2.01,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T1963 M E-VIEW,CARTUCHO EPSON ALTERNATIVO T1963 MAGENTA E-VIEW,2.08,2.01,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T1963 M E-VIEW (CR),CARTUCHO EPSON ALTERNATIVO T1963 MAGENTA E-VIEW (CAJA ROTA),1.33,1.28,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
T2964 A E-VIEW,CARTUCHO EPSON ALTERNATIVO T2964 AMARILLO E-VIEW,3.54,3.44,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ALTERNATIVOS,E VIEW,10.5
ALT51625AL,CARTUCHO HP ALTERNATIVO 51625AL #25 TRICOLOR,6.0,5.81,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,CP,10.5
ALT51626AL,CARTUCHO HP ALTERNATIVO 51626AL #26 NEGRO,4.95,4.8,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,CP,10.5
ALT51649AL,CARTUCHO HP ALTERNATIVO 51649AL #49 TRICOLOR,7.82,7.58,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,CP,10.5
ALTC6614DL,CARTUCHO HP ALTERNATIVO C6614DL #20 NEGRO,15.37,14.91,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,CP,10.5
ALTCB318WL,CARTUCHO HP ALTERNATIVO CB318WL #564 CYAN,12.43,12.03,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,CP,10.5
ALTCB319WL,CARTUCHO HP ALTERNATIVO CB319WL #564 MAGENTA,12.43,12.03,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ALTERNATIVOS,CP,10.5
YD3200C5FHBOX,CPU AMD RYZEN 3 3200G  SOCKET AM4 (BOX) ,218.08,211.53,En Equipo,HARDWARE,MICROPROCESADORES,AMD,10.5
100-100000252BOX,CPU AMD RYZEN 5 5600G 6 CORE 3.9GHZ AM4 (BOX),364.53,353.6,En Equipo,HARDWARE,MICROPROCESADORES,AMD,10.5
100-100000263BOX,CPU AMD RYZEN 7 5700G  AM4 ,512.6,497.25,En Equipo,HARDWARE,MICROPROCESADORES,AMD,10.5
100-100000061,CPU AMD RYZEN 9 5900X AM4 (SIN COOLER),956.89,928.2,773.50 ,HARDWARE,MICROPROCESADORES,AMD,10.5
BX80701G5905,CPU INTEL CELERON G5905 3.50GHZ S1200,92.09,89.33,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX8070110100,CPU INTEL CORE I3-10100 3.60GHZ 1200,272.29,264.12,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX8070110105,CPU INTEL CORE I3-10105 3.70GHZ S1200,274.54,266.31,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX8071512100,CPU INTEL CORE I3-12100 4.30GHZ S1700,309.8,300.49,,HARDWARE,MICROPROCESADORES,INTEL,10.5
