Código,Descripción,Final USD,Final ESP USD,Promoción,Categoría,Sub Categoría,Marca,Tipo IVA
SA400S37-480G,"DISCO SSD 480GB SATA III 2.5"" A400 KINGSTON",66.11,64.12,62.83 ,HARDWARE,DISCOS INTERNOS SSD,KINGSTON,10.5
ASU650SS-480GT-R,"DISCO SSD 480GB SATA III 2.5"" ADATA SU650",52.51,50.93,50.50 ,HARDWARE,DISCOS INTERNOS SSD,A-DATA,10.5
SNV2S-500G,DISCO SSD 500GB NV2 SNVS SERIE-PCIe NVME M.2 KINGSTON,84.55,82.01,,HARDWARE,DISCOS INTERNOS SSD,KINGSTON,10.5
SSD7CS900-500-RB,"DISCO SSD 500GB SATA III 2.5"" PNY CS900",54.72,53.08,47.64 ,HARDWARE,DISCOS INTERNOS SSD,GENERAL,10.5
070384,DISCO SSD 512GB M.2 SATA III VI560 VERBATIM,67.21,65.2,60.78 ,HARDWARE,DISCOS INTERNOS SSD,VERBATIM,10.5
SA400S37-960G,"DISCO SSD 960GB SATA III 2.5"" A400 KINGSTON",127.58,123.76,109.58 ,HARDWARE,DISCOS INTERNOS SSD,KINGSTON,10.5
ASU650SS-960GT-R,"DISCO SSD 960GB SATA III 2.5"" ADATA SU650",102.48,99.41,98.55 ,HARDWARE,DISCOS INTERNOS SSD,A-DATA,10.5
6001334,DLINK DI-LB604/A 4-PORT LOAD INTERN,33.77,33.44,,PRODUCTOS EN OUTLET,OUTLET,DLINK,10.5
6001335,DLINK DVG-5121SP/A VOLP TEL ADAPTER,28.14,27.86,,PRODUCTOS EN OUTLET,OUTLET,DLINK,10.5
6001342,DLINK DWA-620 108G NB ADAPTER WIRELL,11.26,11.15,,PRODUCTOS EN OUTLET,OUTLET,DLINK,10.5
6001349,DLINK DWL-2200AP/A 802.11G INDOOR,182.37,180.55,,PRODUCTOS EN OUTLET,OUTLET,DLINK,10.5
6001331,DLINK DWL-7100AP/A 802.11A/G WILL,112.58,111.45,,PRODUCTOS EN OUTLET,OUTLET,DLINK,10.5
T063220,EPSON T063220 CYAN C67/C87/CX3700 v,5.76,5.57,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ORIGINALES,EPSON,10.5
T063320,EPSON T063320 MAG C67/C87/CX3700 v,5.76,5.57,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ORIGINALES,EPSON,10.5
T063420,EPSON T063420 YEL C67/C87/CX3700,5.76,5.57,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ORIGINALES,EPSON,10.5
T133420,"EPSON T133420 AMAR TX420W,T25,TX125",9.64,9.33,,INSUMOS PARA IMPRESORAS,CARTUCHOS EPSON ORIGINALES,EPSON,10.5
TCA-1200N-V,ESTABILIZADOR LYONN TCA-1200N-V,32.43,31.46,,UNIDADES DE ENERGIA,ESTABILIZADORES DE TENSION,LYONN,21.0
TCA-2000-H,ESTABILIZADOR LYONN TCA-2000H P/HELADERA,33.02,32.03,,UNIDADES DE ENERGIA,ESTABILIZADORES DE TENSION,GENERAL,21.0
TCA-2000N-V,ESTABILIZADOR LYONN TCA-2000N-V,45.53,44.17,,UNIDADES DE ENERGIA,ESTABILIZADORES DE TENSION,LYONN,21.0
HDMI-M_H,E-VIEW ADAPTADOR HDMI M/H NEGRO,1.29,1.26,,CABLES Y ADAPTADORES,CABLES Y ADAPTADORES VARIOS,E-View,21.0
LD369B-I,E-VIEW MOUSE GAMING BLACK USB LD369B-I,4.08,3.96,,PERIFERICOS,MOUSE GAMING,E-View,10.5
LD369B-R,E-VIEW MOUSE GAMING GOMA USB LD369B-R,4.4,4.27,,PERIFERICOS,MOUSE GAMING,E-View,10.5
LD369B-B,E-VIEW MOUSE GAMING LED 3 COLORES USB LD369B-B,4.65,4.52,,PERIFERICOS,MOUSE GAMING,E-View,10.5
ADS-40SG-19-33,FUENTE MONITOR 19V 1.3A 25W (5.5*1.7),14.59,14.16,,MONITORES,FUENTES PARA MONITORES,GENERAL,21.0
ADP-65YBB,FUENTE NOTEBOOK AC ADAPTER - ADP-65YBB LENOVO/20V-3.25A/ PIN REDONDO,21.15,20.51,,NOTEBOOK,FUENTES PARA NOTEBOOK,GENERAL,21.0
GAB-MF3301,GABINETE E-VIEW KIT-MF3301 600W (TEC+MOU)  (COMPONENTES),79.91,77.52,,GABINETES PARA PC / FUENTES,GABINETES CON KIT,GENERAL,10.5
GAB-MF609,GABINETE E-VIEW KIT-MF609 600W (TEC+MOU)  (COMPONENTES),79.91,77.52,,GABINETES PARA PC / FUENTES,GABINETES CON KIT,GENERAL,10.5
GAB-S609,GABINETE E-VIEW S609 600W,71.8,69.65,,GABINETES PARA PC / FUENTES,GABINETES CON KIT,GENERAL,10.5
GAB-K2-750,GABINETE GAMING E-VIEW KIT-K2 RGB 750W 80+ (TEC+MOU+CAM+COOLERX4),204.17,198.05,,GABINETES PARA PC / FUENTES,GABINETES CON KIT,GENERAL,10.5
LC728-12,GABINETE KIT-LC728-12 500W (TEC+MOU),95.42,92.55,,GABINETES PARA PC / FUENTES,GABINETES CON KIT,GENERAL,10.5
31030118101,GENIUS MOUSE MINI NAVIGATOR USB BLUE,9.54,6.86,,PERIFERICOS,MOUSE,GENIUS,10.5
31030117101,GENIUS MOUSE MINI NAVIGATOR USB RUBY,7.07,6.86,,PERIFERICOS,MOUSE,GENIUS,10.5
31620001101_O,GENIUS SPEED WHEEL 3 VIBRATION USB WHEEL,64.82,62.87,,PERIFERICOS,JOYSTICK/GAMEPAD/VOLANTES,GENIUS,21.0
GA00439-US SF-LA,GOOGLE CHROMECAST 3 SMART TV HDMI USB (SIN FUENTE),87.31,84.7,79.19 ,AUDIO/VIDEO,CONVERTIDORES SMART,GOOGLE,21.0
GA01919-US SF,GOOGLE CHROMECAST 4K /GOOGLE TV/SNOW (SIN FUENTE),140.48,136.27,121.10 ,AUDIO/VIDEO,CONVERTIDORES SMART,GOOGLE,21.0
GA03131-US,GOOGLE CHROMECAST HD +  GOOGLE TV (SIN FUENTE),111.44,108.1,99.89 ,AUDIO/VIDEO,CONVERTIDORES SMART,GOOGLE,21.0
464A7LT-ABA,"HP 200 G8 21 ALL-IN-ONE CELERON J4025/4GB/1TB/20.7"" FHD/FREEDOS/ESP",880.31,853.93,813.27 ,PC,ALL IN ONE,HP,10.5
1S1V1LT-ABM,"HP 205 G4 ALL-IN-ONE ATHLON SILVER 3050U/4GB/1TB/21.5"" FHD/FREEDOS/ESP",980.83,951.41,906.10 ,PC,ALL IN ONE,HP,10.5
577G2AA,"HP 24-CB0029 ALL-IN-ONE RYZEN 5 5500U/8GB/SSD 512GB/23.8"" FHD TOUCH/W11",2050.52,1989.0,1492.95 ,PC,ALL IN ONE,HP,10.5
C4902AL,HP C4902AL #940 BLACK v,17.13,16.59,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ORIGINALES,HP,10.5
C4903AL,HP C4903AL #940 CYAN v,13.7,13.27,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ORIGINALES,HP,10.5
C4904AL,HP C4904AL #940 MAGENTA v,13.7,13.27,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ORIGINALES,HP,10.5
C9361WL,HP C9361WL #93 TRICOLOR 5 ML,35.08,33.98,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ORIGINALES,HP,10.5
CC643WL,HP CC643WL #60 TRICOLOR 3 ML (V),27.27,26.45,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ORIGINALES,HP,10.5
CD973AL,HP CD973AL #920XL MAGENTA v,15.7,15.2,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ORIGINALES,HP,10.5
CH562HL,HP CH562HL #122 TRICOLOR (V),16.08,15.59,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ORIGINALES,HP,10.5
CN691AL,HP CN691AL #675 TRICOLOR v,7.99,7.74,,INSUMOS PARA IMPRESORAS,CARTUCHOS HP ORIGINALES,HP,10.5
677H9UA-ABA,"HP VICTUS 15-FB0028NR RYZEN 7 5800H/16GB/SSD 512GB/15.6"" FHD 144Hz/RTX 3050 TI 4GB",2631.47,2552.55,2431.32 ,NOTEBOOK,NOTEBOOK,HP,10.5
JBLE35BLK,JBL AURICULAR E35 ON-EAR /DISEÑO PLEGABLE/ BLACK WIRED,74.34,72.1,,AUDIO,AURICULARES,JBL,21.0
JBLV310BTGML,JBL AURICULAR EVEREST 310 ON-EAR BLUETOOTH  - GUN METAL,265.33,257.35,,AUDIO,AURICULARES BLUETOOTH,JBL,21.0
JBLAWAREBLKI,JBL AURICULAR REFLECT AWARE NOISE CANCEL IN-EAR BLACK P/IPHONE,189.4,183.71,,AUDIO,AURICULARES,JBL,21.0
JBLAWAREBLUI,JBL AURICULAR REFLECT AWARE NOISE CANCEL IN-EAR BLUE P/IPHONE,189.4,183.71,,AUDIO,AURICULARES,JBL,21.0
JBLAWAREREDI,JBL AURICULAR REFLECT AWARE NOISE CANCEL IN-EAR RED P/IPHONE,189.4,183.71,,AUDIO,AURICULARES,JBL,21.0
JBLCHARGE5BLK,JBL PARLANTE CHARGE 5 BLUETOOTH BLACK,269.38,261.3,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
JBLCHARGE5BLU,JBL PARLANTE CHARGE 5 BLUETOOTH BLUE,269.38,261.3,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
JBLCHARGE5GRE,JBL PARLANTE CHARGE 5 BLUETOOTH GREY,269.38,261.3,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
JBLCLIP4BLUAM,JBL PARLANTE CLIP 4 BLUETOOTH WIRELESS BLUE,126.34,122.54,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
JBLFLIP6BLUE,JBL PARLANTE FLIP 6 BLUE,195.77,189.89,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
JBLFLIP6GRE,JBL PARLANTE FLIP 6 GREY,195.77,189.89,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
JBLFLIP6RED,JBL PARLANTE FLIP 6 RED,195.77,189.89,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
JBLGO3SQUADAM,JBL PARLANTE GO 3 BLUETOOTH WIRELESS SQUAD,84.0,81.48,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
KIT Q270 + CPU DC G4400,KIT ASROCK Q270 PRO BTC+ / CPU PENTIUM DC G4400,326.63,316.84,,HARDWARE,MOTHERBOARD,ASROCK,10.5
NM-LC401,LECTOR CODIGO DE BARRAS USB 1D NETMAK NM-LC401,45.87,44.5,,LECTOR DE CODIGO DE BARRAS,LECTORES DE CODIGO DE BARRAS 1D,OCOM,21.0
82LN00F8US,"LENOVO AMD RYZEN 7 5700U/8GB/512GB SSD/15.6"" FHD /W11",1720.18,1668.55,1361.36 ,NOTEBOOK,NOTEBOOK,LENOVO,10.5
82K100LUUS,"LENOVO GAMING I5-11300H/8GB/512GB SSD/15.6"" FHD/GTX 1650 4GB/W11 BLACK",1936.63,1878.5,1624.35 ,NOTEBOOK,NOTEBOOK,LENOVO,10.5
82KB015USP-B,"LENOVO V15 G2 I5-1135G7/8GB/512GB SSD/15.6"" FHD/ W11/ ESPAÑOL",1253.04,1215.5,,NOTEBOOK,NOTEBOOK,LENOVO,10.5
82KB00CBEU-B,"LENOVO V15 G2 I5-1135G7/8GB/512GB SSD/15.6"" FHD/FREEDOS",1231.27,1194.33,,NOTEBOOK,NOTEBOOK,LENOVO,10.5
82KB015MSP,"LENOVO V15 G2 I5-1135G7/8GB/512GB SSD/15.6"" FHD/FREEDOS/ ESPAÑOL",1234.89,1197.82,,NOTEBOOK,NOTEBOOK,LENOVO,10.5
82KB015WSP-B,"LENOVO V15 G2 I7-1165G7/8GB/512GB SSD/15.6"" FHD/ W11/ ESPAÑOL",1542.23,1495.97,,NOTEBOOK,NOTEBOOK,LENOVO,10.5
82KD00EPSP,"LENOVO V15 G2 RYZEN 5 5500U/8GB/256GB SSD/15.6"" FHD/W11/ESPAÑOL",1143.33,1109.01,,NOTEBOOK,NOTEBOOK,LENOVO,10.5
82TV006CSP,"LENOVO V15 G2 RYZEN 7 5825U/16GB/512GB SSD/15.6"" FHD/FREEDOS/ESPAÑOL",1464.66,1420.69,,NOTEBOOK,NOTEBOOK,LENOVO,10.5
82KB00YXUE,"LENOVO V15 I3-1115G4/4GB/256GB SSD /15.6"" FHD/FREEDOS (MALETIN)",900.03,872.95,,NOTEBOOK,NOTEBOOK,LENOVO,10.5
82K015NSP,"LENOVO V15 I3-1115G4/8GB/256GB SSD /15.6"" FHD/W11/ESPAÑOL",1013.87,983.45,,NOTEBOOK,NOTEBOOK,LENOVO,10.5
82TT001CUE,"LENOVO V15 I3-1215U/4GB/256GB SSD /15.6"" FHD/FREEDOS",1043.64,1012.35,,NOTEBOOK,NOTEBOOK,LENOVO,10.5
82KD00ENSP,"LENOVO V15 RYZEN 3 5300U/8GB/256GB SSD /15.6"" FHD/W11/ESPAÑOL",1070.79,1038.7,1018.53 ,NOTEBOOK,NOTEBOOK,LENOVO,10.5
SDCS2-128GB,MEMORIA MICROSD 128 GB CLASE 10 CANVAS SELECT PLUS KINGSTON,21.21,20.57,,MEMORIAS PORTATILES,TARJETAS DE MEMORIA,KINGSTON,21.0
SDCS2-32GB,MEMORIA MICROSD 32 GB CLASE 10 CANVAS SELECT PLUS KINGSTON C/ADAPTER ,9.39,9.11,,MEMORIAS PORTATILES,TARJETAS DE MEMORIA,KINGSTON,21.0
SDCS2-64GB,MEMORIA MICROSD 64 GB CLASE 10 CANVAS SELECT PLUS KINGSTON C/ADAPTER,12.49,12.11,,MEMORIAS PORTATILES,TARJETAS DE MEMORIA,KINGSTON,21.0
MW305R,MERCUSYS WI-FI ROUTER 300 MW305R /3 ANTENAS,35.67,34.6,,CONECTIVIDAD,ROUTER INALAMBRICO,MERCUSYS,10.5
MW325R,MERCUSYS WI-FI ROUTER 300 MW325R /4 ANTENAS,39.27,38.09,,CONECTIVIDAD,ROUTER INALAMBRICO,MERCUSYS,10.5
MW302R,MERCUSYS WI-FI ROUTER MULTI-MODE 300 MW302R /2 ANTENAS,30.82,29.89,,CONECTIVIDAD,ROUTER INALAMBRICO,MERCUSYS,10.5
C2-VS22,MINI TECLADO INALAMBRICO PARA TV BOX C2-VS22 E-VIEW,12.07,11.7,,TELEVISORES Y ACCESORIOS,CONVERTIDORES SMART,E-View,10.5
1060702,"MONITOR CRT 15"" OLIVETTI MOD:556CA OUTLET",44.45,43.12,,MONITORES,MONITORES,OLIVETTI,10.5
1951AXA,MONITOR LED 20 E-VIEW 1951AXA VGA/HDMI (1600x900),154.73,150.09,121.04 ,MONITORES,MONITORES,E-View,21.0
2151AXA,MONITOR LED 22 E-VIEW 2151AXA VGA/HDMI (1920x1080),179.16,173.78,143.99 ,MONITORES,MONITORES,E-View,21.0
271AXA,MONITOR LED 27 E-VIEW 271AXA VGA/HDMI (1920x1080),256.12,248.43,211.75 ,MONITORES,MONITORES,E-View,21.0
90-MXBLC0-A0UAYZ,MOTHER ASROCK B560M-HDV R3.0 1200 H/D/V ,172.02,166.86,,HARDWARE,MOTHERBOARD,MSI,10.5
90-MXBH40-A0UAYZ,MOTHER ASROCK B660M-HDV 1700 H/DP/V M.2,210.79,204.47,,HARDWARE,MOTHERBOARD,MSI,10.5
ASR-90-MXBHMO-AOUAYZ,MOTHER ASROCK Q270 PRO BTC+ MINING BOARD 1151,244.61,237.28,,HARDWARE,MOTHERBOARD,ASROCK,10.5
4712960685291,MOTHER BIOSTAR A320MH 2.0 AM4 H/V (KIT),114.21,110.79,,HARDWARE,MOTHERBOARD,GIGABYTE,10.5
1034014,MOTHER ECS NFORCE 570 SLIT-A LGA775,29.84,27.63,,HARDWARE,MOTHERBOARD,ECS,10.5
911-7C96-024/031,MOTHER MSI A520M-A PRO AM4 H/D M.2,146.9,142.49,,HARDWARE,MOTHERBOARD,MSI,10.5
911-7C95-038/056/048,MOTHER MSI B550M PRO-VDH WIFI AM4 H/DP/V M.2,267.3,259.29,,HARDWARE,MOTHERBOARD,MSI,10.5
911-7D22-074,MOTHER MSI B560M PRO-E H/V 1200 M.2,188.2,182.56,,HARDWARE,MOTHERBOARD,MSI,10.5
911-7D95-002,MOTHER MSI PRO B550M-P  AM4 H/D/V M.2 ,221.31,214.67,,HARDWARE,MOTHERBOARD,MSI,10.5
911-7D45-017,MOTHER MSI PRO B660M-G 1700 H/DP/V M.2,251.79,244.24,,HARDWARE,MOTHERBOARD,MSI,10.5
911-7D45-005/008,MOTHER MSI PRO B660M-G 1700 H/DP/V M.2,251.79,244.24,,HARDWARE,MOTHERBOARD,MSI,10.5
911-7D46-020/23/30/63,MOTHER MSI PRO H610M-G 1700 H/DP/V M.2,170.88,165.75,,HARDWARE,MOTHERBOARD,MSI,10.5
BB71362H16GXXDX11MH,"MSI KATANA I7-13620H/16GB/1TB SSD /15.6"" FHD/RTX 4050 6GB/W11",3467.71,3363.73,,NOTEBOOK,NOTEBOOK,MSI,10.5
NM-C95,NETMAK ADAPT. ACTIVO DVI-D 24+1 (M) A VGA (H) NM-C95,11.77,11.42,,CABLES Y ADAPTADORES,CABLES Y ADAPTADORES VARIOS,NETMAK,21.0
NM-BATTLE,NETMAK AURICULAR GAMER PS4 CAMUFLADO - 1 PLUG 3.5 BATTLE,13.72,13.33,,AUDIO,AURICULARES,NETMAK,21.0
NM-INFINITY,NETMAK AURICULAR NOTEBOOK/PS4 GAMER INFINITY,16.03,15.58,,AUDIO,AURICULARES,NETMAK,21.0
NM-SHADOW,NETMAK AURICULAR TERROR SOUND C/MIC,9.58,9.32,,AUDIO,AURICULARES,NETMAK,21.0
NM-VENGER,NETMAK AURICULAR VENGER GAMER LED LIGHTS,16.53,16.07,,AUDIO,AURICULARES,NETMAK,21.0
NM-C25 1.5,NETMAK CABLE AUDIO 3.5MM A 2 RCA 1.5M NM-C25 1.5,1.84,1.79,,CABLES Y ADAPTADORES,CABLES AUDIO,NETMAK,21.0
NM-C66B,NETMAK CABLE AUXILIAR 3.5MM A 3.5 MM REF. 1M AZUL NM-C66B,1.56,1.52,,CABLES Y ADAPTADORES,CABLES AUDIO,NETMAK,21.0
NM-C66,NETMAK CABLE AUXILIAR 3.5MM A 3.5 MM REF. 1M BLACK NM-C66,1.56,1.52,,CABLES Y ADAPTADORES,CABLES AUDIO,NETMAK,21.0
NM-C66G,NETMAK CABLE AUXILIAR 3.5MM A 3.5 MM REF. 1M GREEN NM-C66G,1.56,1.52,,CABLES Y ADAPTADORES,CABLES AUDIO,NETMAK,21.0
NM-C66R,NETMAK CABLE AUXILIAR 3.5MM A 3.5 MM REF. 1M RED NM-C66R,1.56,1.52,,CABLES Y ADAPTADORES,CABLES AUDIO,NETMAK,21.0
NM-C47,NETMAK CABLE HDMI M/M V1.4 1.5M NM-C47,4.57,4.44,,CABLES Y ADAPTADORES,CABLES HDMI,NETMAK,21.0
NM-C47 10,NETMAK CABLE HDMI M/M V1.4 10M NM-C47 10,17.4,16.92,,CABLES Y ADAPTADORES,CABLES HDMI,NETMAK,21.0
NM-C47 15,NETMAK CABLE HDMI M/M V1.4 15M NM-C47 15,24.15,23.47,,CABLES Y ADAPTADORES,CABLES HDMI,NETMAK,21.0
NM-C47 20,NETMAK CABLE HDMI M/M V1.4 20M NM-C47 20,36.74,35.71,,CABLES Y ADAPTADORES,CABLES HDMI,NETMAK,21.0
NM-C47 3,NETMAK CABLE HDMI M/M V1.4 3M NM-C47 3,5.98,5.81,,CABLES Y ADAPTADORES,CABLES HDMI,NETMAK,21.0
NM-C47 5,NETMAK CABLE HDMI M/M V1.4 5M NM-C47 5,9.12,8.87,,CABLES Y ADAPTADORES,CABLES HDMI,NETMAK,21.0
NM-C70,NETMAK CABLE USB A MICRO USB 1.5M NM-C70,2.5,2.44,,CABLES Y ADAPTADORES,CABLES Y ADAPTADORES VARIOS,NETMAK,21.0
NM-117B,"NETMAK CABLE USB A MICRO USB 2A 1,2M STRONG SERIES  AZUL NM-117B",4.07,3.94,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-117,"NETMAK CABLE USB A MICRO USB 2A 1,2M STRONG SERIES NEGRO NM-117",4.07,3.94,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-117S ,"NETMAK CABLE USB A MICRO USB 2A 1,2M STRONG SERIES PLATEADO NM-117S ",4.07,3.94,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-117R,"NETMAK CABLE USB A MICRO USB 2A 1,2M STRONG SERIES ROJO NM-117R",4.08,3.96,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-115,NETMAK CABLE USB A MICRO USB 2A 1M MAGIC SERIES NM-115,4.61,4.48,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-112,"NETMAK CABLE USB A TIPO C 2A 1,2M GAME CABLE NM-112",4.99,4.83,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-C99,NETMAK CABLE USB A USB TIPO C 3.1 1.5M NM-C99,3.67,3.57,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-C09 1.8,NETMAK CABLE USB ALARGUE 1.8M NM-C09 1.8,3.87,3.76,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-C03 1.8,NETMAK CABLE USB IMPRESORA A/B 1.8 NM-C03 1.8,2.32,2.25,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-UTP2,NETMAK CABLE UTP CAT5E EXTERIOR DOBLE VAINA 100M NM-UTP2,66.31,64.46,,CABLES Y ADAPTADORES,CABLES Y CONECTORES UTP - RED,NETMAK,21.0
NM-UTP,NETMAK CABLE UTP CAT5E INTERIOR 100M NM-UTP,44.33,43.1,,CABLES Y ADAPTADORES,CABLES Y CONECTORES UTP - RED,NETMAK,21.0
NM-C18,NETMAK CABLE VGA M/M 1.5M NM-C18,3.85,3.74,,CABLES Y ADAPTADORES,CABLES VGA,NETMAK,21.0
NM-C18 10,NETMAK CABLE VGA M/M 10M NM-C18 10,18.68,18.16,,CABLES Y ADAPTADORES,CABLES VGA,NETMAK,21.0
NM-C18 20,NETMAK CABLE VGA M/M 20M NM-C18 20,35.7,34.7,,CABLES Y ADAPTADORES,CABLES VGA,NETMAK,21.0
NM-C18 3,NETMAK CABLE VGA M/M 3M NM-C18 3,6.73,6.53,,CABLES Y ADAPTADORES,CABLES VGA,NETMAK,21.0
NM-C18 5,NETMAK CABLE VGA M/M 5M NM-C18 5,9.79,9.51,,CABLES Y ADAPTADORES,CABLES VGA,NETMAK,21.0
NM-PB4-W ,NETMAK CARGADOR PORTABLE 10000MAH MICRO/TIPOC BLANCO NM-PB4-W ,34.52,33.55,,PRODUCTOS NETMAK / NO USADO,PILAS Y CARGADORES,NETMAK,21.0
NM-PB3-W,NETMAK CARGADOR PORTABLE 5000MAH MICRO/TIPOC BLANCO NM-PB3-W,27.99,27.2,,PRODUCTOS NETMAK / NO USADO,PILAS Y CARGADORES,NETMAK,21.0
NM-PB3,NETMAK CARGADOR PORTABLE 5000MAH MICRO/TIPOC NEGRO NM-PB3,27.99,27.2,,PRODUCTOS NETMAK / NO USADO,PILAS Y CARGADORES,NETMAK,21.0
NM-CH4,NETMAK CARGADOR USB P/4 PILAS AA/AAA  NM-CH4,15.84,15.39,,UNIDADES DE ENERGIA,PILAS,NETMAK,21.0
NM-C102,NETMAK CONVERS. DISPLAYPORT A HDMI NM-C102,9.69,9.4,,CABLES Y ADAPTADORES,CONVERSORES,NETMAK,21.0
NM-C105,NETMAK CONVERS. DISPLAYPORT A VGA NM-C105,9.8,9.52,,CABLES Y ADAPTADORES,CONVERSORES,NETMAK,21.0
NM-C81A,NETMAK CONVERS. HDMI A VGA+3.5 AUDIO NM-C81A,13.72,13.35,,CABLES Y ADAPTADORES,CONVERSORES,NETMAK,21.0
NM-BUD,NETMAK EARBUDS BT + BASE DE CARGA / BLACK,27.62,26.86,,AUDIO,AURICULARES BLUETOOTH,NETMAK,21.0
NM-CARRY2,"NETMAK ENCLOSURE 2.5"" SATA USB 2.0 NM-CARRY2",14.12,13.7,,CABLES Y ADAPTADORES,VARIOS,NETMAK,10.5
NM-CARRY5,NETMAK ENCLOSURE SSD M.2 SATA USB 3.1 NM-CARRY5,33.07,32.09,,CABLES Y ADAPTADORES,VARIOS,NETMAK,10.5
NM-1284,NETMAK FUENTE NOTEBOOK AUTOMATICA 65W NM-1284,41.52,40.35,,NOTEBOOK,ACCESORIOS PARA NOTEBOOK,NETMAK,21.0
NM-1287,NETMAK FUENTE NOTEBOOK AUTOMATICA 90W NM-1287,49.21,47.83,,NOTEBOOK,ACCESORIOS PARA NOTEBOOK,NETMAK,21.0
NM-FN15,"NETMAK FUNDA NOTEBOOK NEOPRENNE 15.6"" NEGRO C/CIERRE  NM-FN15",19.78,19.24,,TABLETS,SOPORTES Y ACCESORIOS,NETMAK,21.0
NM-P310,NETMAK GAMEPAD PS3 BLUETOOTH BLACK NM-P310,29.77,28.93,,PERIFERICOS,JOYSTICK/GAMEPAD/VOLANTES,NETMAK,21.0
NM-P401,NETMAK GAMEPAD PS4 BLACK NM-P401,59.69,57.9,,PERIFERICOS,JOYSTICK/GAMEPAD/VOLANTES,NETMAK,21.0
NM-P401-R,NETMAK GAMEPAD PS4 RED NM-P401-R,59.69,57.9,,PERIFERICOS,JOYSTICK/GAMEPAD/VOLANTES,NETMAK,21.0
NM-TC40 ,NETMAK HUB TIPO C (M) A 3 PUERTOS USB 2.0 + RJ45 / NM-TC40 ,21.45,20.85,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,21.0
NM-AC08,NETMAK HUB USB 2.0 4 PUERTO CON SWITCH NM-AC08,6.62,6.43,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,10.5
NM-AC05,NETMAK HUB USB 2.0 SLIM NM-AC05,5.97,5.8,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,10.5
NM-GR10CC,NETMAK JERINGA GRASA DISIP. TERM.X 10 CC NM-GR10CC,7.16,6.96,,CABLES Y ADAPTADORES,VARIOS,NETMAK,21.0
NM-LD4,NETMAK LUZ RECARGABLE DELANTERA PARA BICICLETA NM-LD4,11.45,11.12,,CABLES Y ADAPTADORES,VARIOS,NETMAK,21.0
NM-LD5,NETMAK LUZ RECARGABLE TRASERA PARA BICICLETA NM-LD4,10.49,10.2,,CABLES Y ADAPTADORES,VARIOS,NETMAK,21.0
NM-MC2,NETMAK MICROFONO PARA PC CON BASE /CONEXION 3.5MM NM-MC2,7.42,7.21,,AUDIO,MICROFONOS,NETMAK,21.0
NM-GLADIUS-2,NETMAK PAD MOUSE GAMER GRANDE NM-GLADIUS-2,14.5,14.07,,PERIFERICOS,PAD MOUSE,NETMAK,21.0
NM-NORDIC-2,NETMAK PAD MOUSE GAMER GRANDE NM-NORDIC-2,13.35,12.95,,PERIFERICOS,PAD MOUSE,NETMAK,21.0
NM-ARENA,NETMAK PAD MOUSE GAMER NM-ARENA,5.09,4.95,,PERIFERICOS,PAD MOUSE,NETMAK,21.0
NM-GLADIUS,NETMAK PAD MOUSE GAMER NM-GLADIUS,5.49,5.34,,PERIFERICOS,PAD MOUSE,NETMAK,21.0
NM-NORDIC,NETMAK PAD MOUSE GAMER NM-NORDIC,3.99,3.88,,PERIFERICOS,PAD MOUSE,NETMAK,21.0
NM-PGEL,NETMAK PAD MOUSE GEL BLACK NM-PGEL,9.14,8.88,,PERIFERICOS,PAD MOUSE,NETMAK,21.0
