ID,DETALLE,CODIGO ALFA,CODIGO PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PRECIO,IVA,IMP. INTERNO,MARKUP,PRECIO PUBLICO,COTIZACION,PRECIO PUBLICO ARS,URI,FECHA HORA
9860,Auricular GENIUS HS-610 Rojo,GENAURHS-610R,31710010402,Audio,Auriculares,GENIUS,24.94,21.0,0.0,10,27.43,365.5,10025.66,https://elit.com.ar/producto/9860-auricular-genius-hs-610-rojo,8/18/2023 3:47:36 PM 
9920,Auricular TRUST GXT 450 Blizz Negro,TRUAURGTX450,23191,Audio,Auriculares,TRUST,46.65,21.0,0.0,10,51.32,365.5,18757.46,https://elit.com.ar/producto/9920-auricular-trust-gxt-450-blizz-negro,8/18/2023 3:47:36 PM 
9921,Auricular TRUST GXT 433 Pylo Negro,TRUAURGTX433,23381,Audio,Auriculares,TRUST,31.23,21.0,0.0,10,34.35,365.5,12554.93,https://elit.com.ar/producto/9921-auricular-trust-gxt-433-pylo-negro,8/18/2023 3:47:36 PM 
9935,Mouse c/cable TRUST Gxt 900 Qudos Negro,TRUMOUGXT900,23400,Perifericos,Mouses,TRUST,30.05,10.5,0.0,10,33.06,365.5,12083.43,https://elit.com.ar/producto/9935-mouse-c-cable-trust-gxt-900-qudos-negro,8/18/2023 3:47:36 PM 
9949,Mouse c/Cable LOGITECH G203 Negro,LOGMOUG203SYNC,910-005793,Perifericos,Mouses,LOGITECH,53.29,10.5,0.0,10,58.62,365.5,21425.61,https://elit.com.ar/producto/9949-mouse-c-cable-logitech-g203-negro,8/18/2023 3:47:36 PM 
10020,Mouse c/Cable LOGITECH G203 Blanco,LOGMOUG203,910-005794,Perifericos,Mouses,LOGITECH,52.98,10.5,0.0,10,58.28,365.5,21301.34,https://elit.com.ar/producto/10020-mouse-c-cable-logitech-g203-blanco,8/18/2023 3:47:36 PM 
10026,Mouse Inalámbrico KLIP XTREME ErgoBall Negro,KLIMOUKMW-800,KMW-800,Perifericos,Mouses,KLIP XTREME,69.26,10.5,0.0,10,76.19,365.5,27847.45,https://elit.com.ar/producto/10026-mouse-inalambrico-klip-xtreme-ergo-ball-negro,8/18/2023 3:47:36 PM 
10030,Impresora multifunción monocromatica EcoTank M2120,EPSIMPM2120,C11CJ18301,Impresoras,Impresoras Multifunción,EPSON,902.31,21.0,0.0,10,992.54,365.5,362773.37,https://elit.com.ar/producto/10030-impresora-multifuncion-monocromatica-eco-tank-m2120,8/18/2023 3:47:36 PM 
10047,Tarjeta de Memoria SANDISK Ultra MicroSDXC 64GB UHS-I U1 V10,SANMSD-ULT64,SDSQUNR-064G-GN3MA,Almacenamiento,Memorias Flash,SANDISK,11.24,21.0,0.0,10,12.36,365.5,4517.58,https://elit.com.ar/producto/10047-tarjeta-de-memoria-sandisk-ultra-micro-sdxc-64gb-uhs-i-u1-v10,8/18/2023 3:47:36 PM 
10082,Tarjeta de Memoria SANDISK Ultra MicroSDXC 32GB UHS-I U1 V10,SANMSD-ULT32,SDSQUNR-032G-GN3MA,Almacenamiento,Memorias Flash,SANDISK,8.2,21.0,0.0,10,9.02,365.5,3296.81,https://elit.com.ar/producto/10082-tarjeta-de-memoria-sandisk-ultra-micro-sdxc-32gb-uhs-i-u1-v10,8/18/2023 3:47:36 PM 
